Name,Company name (Razón social),Country,Belongs to group: Yes / No,Company Group,Web,CUIL – RUT – NIT,Short name (max 5 letters),Enabled: Yes / No
AESA,A EVANGELISTA SA,ARGENTINA,SI,YPF,WWW.YPF.COM,30-68521810-90,AESA,Yes
ARAUCO,CELULOSA ARAUCO Y CONSTITUCION S A,CHILE,SI,ARAUCO,,93.458.000- 1,ARAUCO,Yes
ARCOR,ARCOR SAIC,ARGENTINA,NO,,30-50279317-5,,ARCOR,Yes
ARCOS DORADOS,ARCOS DORADOS ARGENTINA SA,ARGENTINA,NO,,WWW.ARCOSDORADOS.COM,30-61025233-4,ARCOSD,Yes
ARREDO,VERSSION SA,ARGENTINA,NO,,WWW.ARREDO.COM.AR,30-61494150-9,ARREDO,Yes
ASSIST CARD,ASSIST CARD ARGENTINA SA,ARGENTINA,NO,,WWW.ASSISTCARD.COM,33-54799242-9,ASSISTC,Yes
BANCO CENTRAL CH,BANCO CENTRAL DE CHILE,CHILE,NO,,,97.029.000- 1,BCENCHL,Yes
BATA,BATA CHILE S.A.,CHILE,NO,,,96.670.340- 7,BATA,Yes
BCO. FALABELLA,BANCO FALABELLA,CHILE,NO,,,96.509.660- 4,BCOFALA,No
BDS,BANCO DEL SOL SA,ARGENTINA,NO,,WWW.BANCODELSOL.COM,30-67793756-0,BDS,No
BOEHRINGER ARG,BOEHRINGER INGELHEIM S A,ARGENTINA,SI,BOHERINGER INGELHEIM,WWW.SUDAMERICA.BOEHRINGER-INGELHEIM.COM,30-53562115-9,BIAR,Yes
BOEHRINGER CHILE,BOEHRINGER INGELHEIM LTDA,CHILE,SI,BOHERINGER INGELHEIM,,77.065.850- 0,BICL,Yes
BOEHRINGER COLOMBIA,BOEHRINGER INGELHEIM SA,COLOMBIA,SI,BOHERINGER INGELHEIM,,860000753-8,BICO,Yes
BOEHRINGER PERÚ,BOEHRINGER INGELHEIM PERU S.A.C.,PERU,SI,BOHERINGER INGELHEIM,,20523163320,BIPE,No
BRANCA,FRATELLI BRANCA DESTILERIAS S.A.,ARGENTINA,NO,,WWW.BRANCA.COM.AR,30-50415535-4,BRANCA,No
